row_id,Time,Pass_Fail,Pass_Fail_Label,dataset_split,model_used,fail_probability,prediction_threshold,predicted_class,model_prediction,feature_059,feature_247,feature_487,feature_112,feature_385,feature_425,feature_486,feature_028,feature_019,feature_021,feature_040,feature_480,feature_160,feature_017,feature_510,feature_519,feature_152,feature_563,feature_130,feature_460,feature_202,feature_430,feature_123,feature_469,feature_468,feature_290,feature_280,feature_167,feature_225,feature_344
23,2008-07-25 15:23:00,1,Fail,test,RandomForest_SMOTE,0.5046483776404825,0.5,1,Fail,18.3936,0.2587,141.7931,0.4689,0.0344,23.0001,182.2785,62.5,12.4761,-2664.25,74.57,136.0472,3623.0,0.9696,60.1156,55.1651,2.0334,,0.8093,25.905,5.553,212.6302,16.04,4.6696,18.1585,0.1326,0.0143,1.4,854.9004,34.706
24,2008-07-27 04:18:00,0,Pass,train,RandomForest_SMOTE,0.1906416690577316,0.5,0,Pass,15.3536,0.0225,108.5193,0.4681,0.0044,5.4093,128.2525,64.6778,12.5784,-2681.75,14.41,66.4736,3130.0,0.9802,60.3279,4.8108,0.5142,,0.8743,33.162,5.42,200.0932,15.73,5.796,21.6235,0.0974,0.0262,0.9,1342.7002,25.9075
25,2008-07-27 09:37:00,0,Pass,test,RandomForest_SMOTE,0.29718291071316005,0.5,0,Pass,2.9964,,657.1949,,,3.5169,583.5294,67.0333,12.4222,-2706.0,76.33,59.6658,3301.0,0.9559,65.8494,,0.3428,0.7376,0.7839,18.1568,4.859,218.5144,16.04,4.5767,161.5291,0.1468,0.0246,0.8,739.1006,19.4626
26,2008-07-27 11:10:00,0,Pass,test,RandomForest_SMOTE,0.35206806741258384,0.5,0,Pass,-6.9155,,0.0,,,3.9517,0.0,68.0333,12.4222,-5611.75,78.25,73.0804,647.0,0.9567,48.0962,,0.3879999999999999,0.7323,0.7839,15.4569,8.0851,9.6583,16.04,5.2065,76.6399,0.1468,0.0251,1.2,1129.2002,25.5542
27,2008-07-27 15:46:00,0,Pass,train,RandomForest_SMOTE,0.4408648638112878,0.5,0,Pass,17.3873,0.0332,50.9561,0.476,0.0077,33.3963,137.7096,62.8889,12.4231,-5369.0,76.69,15.7485,420.0,0.9715,69.6774,6.9757,3.4114,0.8536,0.6287,30.4356,9.782,8.4746,15.99,5.9624,37.4986,0.0969,0.0152,1.1,1493.2002,9.6176
28,2008-07-27 16:06:00,0,Pass,train,RandomForest_SMOTE,0.32915799223877346,0.5,0,Pass,13.1136,0.0597,83.458,0.4737,0.0151,4.1837,100.6858,66.1667,12.5473,-5217.5,76.67,91.9914,812.0,0.9574,60.6581,12.6112,0.4089,0.5897,0.7839,15.5713,10.078,13.8764,16.04,4.6167,48.3466,0.1209,0.0132,0.6,953.7998,28.2314
29,2008-07-27 16:49:00,0,Pass,train,RandomForest_SMOTE,0.28681510098129176,0.5,0,Pass,14.7073,0.0635,87.9354,0.4722,0.013,11.4986,152.4759,65.6333,12.5473,-5416.0,14.14,54.599,603.0,0.9629,51.8436,13.4497,0.9961,0.5978,0.8139,24.6564,7.434,4.6529,15.96,4.7002,44.8078,0.1209,0.0099,1.2,1280.6997,20.6955
30,2008-07-27 20:24:00,0,Pass,train,RandomForest_SMOTE,0.3002182689373918,0.5,0,Pass,29.5109,0.0292,62.7043,0.4614,0.0058,4.0441,94.6015,68.6444,12.4222,-5500.5,65.83,98.569,406.0,0.9596,49.1677,6.3198,0.3989,,0.6287,24.998,13.78,9.7264,15.99,5.2123,30.2939,0.1468,0.0116,1.6,1566.8999,32.0764
31,2008-07-27 22:28:00,0,Pass,test,RandomForest_SMOTE,0.34843611629043864,0.5,0,Pass,13.1482,0.1551,74.4331,0.4713,0.0244,4.5748,113.2273,65.3667,12.5473,-5497.75,14.26,56.9462,261.0,0.9582,59.4595,32.9064,0.446,0.6004,0.7839,18.6965,4.385,5.6387,16.04,6.1748,41.2985,0.1209,0.0164,0.4,1698.7998,18.8512
32,2008-07-27 22:28:00,0,Pass,train,RandomForest_SMOTE,0.23414492392503813,0.5,0,Pass,-3.3864,,0.0,,,15.3844,186.4533,62.6667,12.4222,-5507.75,73.95,81.0498,396.0,0.972,67.6218,,1.4992,0.7412,0.8884,16.2616,10.232,12.1828,15.85,5.1579,256.6174,0.1468,0.0197,1.4,1157.1001,27.3291
33,2008-07-27 23:14:00,0,Pass,train,RandomForest_SMOTE,0.27270356009198854,0.5,0,Pass,4.4036,,0.0,,,29.4205,109.3957,65.4556,12.4278,-2622.5,,14.7179,3511.0,0.9726,37.9822,,2.8455,0.7116,0.8884,25.2445,5.825,212.5834,15.85,4.6224,54.5004,0.1166,0.0177,0.6,894.9004,4.5223
34,2008-07-28 03:31:00,0,Pass,train,RandomForest_SMOTE,0.4444497454938709,0.5,0,Pass,17.5473,0.0974,40.2192,0.4658,0.012,12.9785,155.5632,66.8889,12.5473,-6010.25,76.69,74.0374,560.0,0.9651,78.7062,20.9069,1.2511,0.6178,0.8139,33.6292,9.418,34.2415,15.96,4.8676,40.8611,0.1209,0.0184,0.5,1045.3008,24.3312
35,2008-07-28 03:48:00,0,Pass,train,RandomForest_SMOTE,0.3151073029356084,0.5,0,Pass,-10.1245,,861.0951,,,2.5606,680.5726,66.4778,12.2749,-5548.0,76.73,53.012,118.0,0.9715,95.0,,0.2675,0.6684,0.8884,15.6292,6.098,9.571,15.85,5.0673,59.4595,0.1354,0.0162,1.4,1349.9995,18.7285
36,2008-07-28 04:37:00,0,Pass,train,RandomForest_SMOTE,0.3244785598096736,0.5,0,Pass,13.9782,0.0231,78.7809,0.4693,0.0049,38.142,142.0187,65.2667,12.4231,-1362.0,14.14,21.3647,2841.0,0.9758,75.513,4.9154,4.0045,,0.8139,21.3059,10.45,400.0,15.96,5.4704,47.3595,0.0969,0.009,0.9,1027.5996,12.8283
37,2008-07-28 05:36:00,0,Pass,train,RandomForest_SMOTE,0.2609759267963704,0.5,0,Pass,13.4891,0.0306,73.6871,0.4733,0.0069999999999999,44.5204,153.394,65.2222,12.4231,-5452.75,14.14,70.7208,244.0,0.9629,57.2246,6.4745,4.2234,0.8401,0.8139,18.8415,6.403,11.3154,15.96,4.58,51.1524,0.0969,0.008,0.8,646.2998,31.9427
38,2008-07-28 06:45:00,1,Fail,train,RandomForest_SMOTE,0.794688330698198,0.5,1,Fail,24.9027,0.0267,71.127,0.4643,0.0046,10.758,158.8885,68.3222,12.5724,-5493.75,14.37,79.1566,259.0,0.9731,172.0755,5.7587,1.0515,,0.8139,26.0692,8.536,1.3288,15.96,7.2385,13.4523,0.1157,0.0142,1.2,1793.6997,27.2031
39,2008-07-28 08:36:00,0,Pass,train,RandomForest_SMOTE,0.14668728911714046,0.5,0,Pass,23.4736,0.0268,96.1272,0.4595,0.0051,6.7043,0.0,70.5111,12.4622,-5525.5,65.83,63.1647,484.0,0.9696,40.7507,5.8423,0.6573,,0.8142,26.9186,12.68,3.0404,16.01,5.0187,40.0023,0.1232,0.0176,1.0,1439.9004,19.722
40,2008-07-28 15:11:00,1,Fail,train,RandomForest_SMOTE,0.809187317006578,0.5,1,Fail,15.1509,0.07,78.8006,0.474,0.0207,54.9343,138.2945,63.5111,12.5473,-5085.25,74.54,29.7559,4170.0,0.9729,75.2941,14.7676,5.2486,0.617,0.8139,30.7471,9.6461,36.3404,15.96,5.9464,25.939,0.1209,0.0157,1.8,1437.1997,16.6716
41,2008-07-28 23:57:00,0,Pass,test,RandomForest_SMOTE,0.20471878905849758,0.5,0,Pass,-2.6636,,0.0,,,3.6010000000000004,784.5238,64.1778,12.4222,-5626.25,77.41,55.7924,179.0,0.962,21.9709,,0.361,0.7388,0.8884,17.6569,7.887,1.2797,15.85,5.5149,230.5119,0.1468,0.0178,0.6,1163.7002,16.1838
42,2008-07-29 04:08:00,0,Pass,train,RandomForest_SMOTE,0.17201982276607589,0.5,0,Pass,-2.4636,,0.0,,,3.3008,0.0,62.2889,12.4222,-6033.25,72.29,70.8565,214.0,0.9623,70.5167,,0.3301,0.7555,0.8884,20.9587,6.047000000000001,47.52,15.85,4.516,200.5166,0.1468,0.0131,1.4,782.8999,23.4731
43,2008-07-29 05:16:00,0,Pass,train,RandomForest_SMOTE,0.37284579967014814,0.5,0,Pass,19.3136,0.0346,302.1277,0.4636,0.0096,5.1562,205.5639,69.0,12.2939,-5415.75,79.48,61.3049,163.0,0.9714,42.1053,7.4722,0.5256,,0.8034,44.2551,16.67,13.35,15.95,4.9578,82.4805,0.2109,0.0152,1.8,1055.6992,23.3353
44,2008-07-29 06:19:00,0,Pass,test,RandomForest_SMOTE,0.572317801152017,0.5,1,Fail,8.3045,0.0375,103.937,0.4669,0.0063,3.3407,941.8028,60.8444,12.4871,-4731.0,74.54,122.9566,3309.0,0.967,76.8946,8.038,0.3377,,0.7692,12.5641,8.094,159.9873,15.9,6.4341,42.0252,0.1452,0.0139,0.7,2080.8999,28.9305
45,2008-07-29 08:23:00,1,Fail,train,RandomForest_SMOTE,0.8663565754079308,0.5,1,Fail,5.03,0.2139,126.9554,0.4731,0.0277,3.8203,267.8914,69.0667,12.4871,-5546.5,79.48,42.8291,190.0,0.9679,113.0045,45.2088,0.3856,0.64,0.7692,14.6482,7.409,5.3908,15.9,6.3675,209.3439,0.1452,0.0165,1.1,577.7998,2.9471
46,2008-07-29 11:47:00,0,Pass,train,RandomForest_SMOTE,0.36874695160787263,0.5,0,Pass,12.0945,0.1467,74.9576,0.462,0.0203,4.5631,315.6023,63.1333,12.4871,-3281.0,14.41,44.0301,3290.0,0.9748,41.0619,31.7398,0.4858,,0.7484,21.1957,9.302,231.6367,15.92,6.5287,56.3064,0.1452,0.0157,1.2,1699.5,17.9518
47,2008-07-29 15:41:00,0,Pass,train,RandomForest_SMOTE,0.45985836033654626,0.5,0,Pass,23.1373,0.0221,114.5966,0.4649,0.0052,22.2512,159.0898,61.8667,12.4871,-4667.25,74.57,112.5545,3417.0,0.9668,42.7002,4.7575,2.1687,,0.7484,23.1448,11.122,163.9724,15.92,4.8492,40.9296,0.1452,0.0151,1.0,1840.3999,31.169
48,2008-07-29 15:49:00,1,Fail,test,RandomForest_SMOTE,0.3918527825143002,0.5,0,Pass,25.0382,0.1918,133.4218,0.4573,0.0309,7.5628,240.6213,69.0667,12.4622,-5300.25,65.83,130.3768,547.0,0.9695,96.9697,41.9486,0.7397,0.7496,0.8142,21.1771,14.06,2.0565,16.01,5.0221,37.9421,0.1232,0.0217,0.7,1572.5996,28.8787
49,2008-07-29 17:05:00,1,Fail,train,RandomForest_SMOTE,0.8182458917559969,0.5,1,Fail,23.3109,0.0421,89.825,0.4649,0.0068,5.1159,403.4423,69.5556,12.4871,-5553.0,78.13,97.9649,169.0,0.9684,18.0064,9.0516,0.5254,,0.7692,35.1942,7.105,13.6863,15.9,5.6929,28.6561,0.1452,0.0183,1.1,962.0,25.5563
50,2008-07-29 18:08:00,1,Fail,test,RandomForest_SMOTE,0.3403150662553848,0.5,0,Pass,23.9555,0.0244,106.4691,0.4641,0.0058,3.6058,142.9297,68.3556,12.4622,-5394.0,65.83,21.0994,368.0,0.9678,49.0667,5.2585,0.3621,,0.7692,26.7966,7.992999999999999,2.9106,15.9,6.1673,21.2478,0.1232,0.0131,1.3,1427.7002,8.3462
51,2008-07-29 21:07:00,0,Pass,test,RandomForest_SMOTE,0.41816428166183,0.5,0,Pass,21.39,0.0354,143.8541,0.4648,0.0059,4.3457,302.7933,64.4222,12.4871,-2575.5,14.41,64.9065,3294.0,0.9663,90.4847,7.6097,0.4435,0.6394,0.7304,39.9146,6.688,209.3186,15.85,4.4499,26.0402,0.1452,0.0149,0.8,833.3999,19.854
52,2008-07-29 23:14:00,0,Pass,train,RandomForest_SMOTE,0.3527859097129965,0.5,0,Pass,1.5882,0.2956,166.23,0.4551,0.0461,3.4904,287.824,67.2667,12.4871,-5175.5,79.48,140.9658,207.0,0.9685,67.8869,64.9501,0.3739,,0.7304,28.5384,20.109,15.1676,15.85,4.2638,0.0,0.1452,0.0161,1.1,580.3994,41.2721
53,2008-07-29 23:19:00,0,Pass,train,RandomForest_SMOTE,0.2690862437441088,0.5,0,Pass,0.6782,,577.4436,,,4.2893,723.8376,64.0778,12.4278,-5545.0,,71.7397,264.0,0.9768,50.0803,,0.4566,0.6509,0.7484,30.8126,5.511,8.0072,15.92,4.7199,828.6863,0.1166,0.012,0.7,776.3994,22.4261
54,2008-07-30 06:30:00,0,Pass,train,RandomForest_SMOTE,0.3256540385043946,0.5,0,Pass,20.0455,0.1959,103.1991,0.4586,0.0273,43.7898,828.8288,62.3667,12.4871,-4520.75,74.8,79.49,3278.0,0.9682,200.7117,42.7117,4.5487,0.6365,0.7484,25.6289,11.781,169.3746,15.92,5.2407,48.39,0.1452,0.0192,0.7,907.7998,27.6247
55,2008-07-30 07:08:00,0,Pass,train,RandomForest_SMOTE,0.4278502012224995,0.5,0,Pass,21.8964,0.0583,73.3613,0.4723,0.0133,4.3527,179.3195,64.7111,12.4871,-5683.75,74.8,80.89399999999999,618.0,0.9653,33.1903,12.3373,0.4471,,0.7484,19.9687,9.244,9.5008,15.92,5.8594,42.3358,0.1452,0.0151,1.2,1722.6001,22.446
56,2008-07-30 12:02:00,0,Pass,train,RandomForest_SMOTE,0.2943723858939945,0.5,0,Pass,22.8809,0.0503,106.1957,0.4726,0.0097,3.447,134.5669,70.0889,12.5235,-5460.5,79.42,62.2062,174.0,0.9738,111.9454,10.6428,0.3681,0.6784,0.7145,15.155,5.916,12.4897,15.84,5.3844,21.8086,0.096,0.0232,1.0,1351.1001,23.3337
57,2008-07-30 12:29:00,1,Fail,train,RandomForest_SMOTE,0.7332753261446727,0.5,1,Fail,2.5209,0.0267,102.8877,0.4628,0.0056,7.0742,411.6863,63.4,12.4649,-1368.75,14.41,81.9893,2615.0,0.9685,101.1287,5.7689,0.7040000000000001,0.6478,0.7304,25.8221,11.783,400.0,15.85,5.4865,542.2647,0.1369,0.0189,0.8,485.7002,32.6838
58,2008-07-30 21:16:00,1,Fail,test,RandomForest_SMOTE,0.34961798301676617,0.5,0,Pass,15.9527,0.0297,360.601,0.4673,0.0056,41.2075,107.8892,63.6,12.5473,-4490.5,74.8,74.3834,3253.0,0.971,31.6049,6.3504,4.5412,0.5838,0.7382,40.1977,5.82,171.6735,15.7,4.0857,38.1126,0.1209,0.0112,0.7,956.5996,23.5595
59,2008-07-31 13:57:00,0,Pass,train,RandomForest_SMOTE,0.28542377368135147,0.5,0,Pass,-1.6545,,161.7266,,,3.5953,492.3724,66.7222,12.4278,-5433.25,78.25,53.2844,357.0,0.9719,80.0,,0.3814,0.7547,0.8482,23.5982,8.488999999999999,15.037,15.77,5.5417,314.8901,0.1166,0.0301,0.9,977.5,15.5393
60,2008-07-31 15:36:00,0,Pass,train,RandomForest_SMOTE,0.4317949149131026,0.5,0,Pass,6.7391,0.0385,104.5564,0.4709,0.0087,5.4662,151.028,68.0222,12.5235,-5493.75,79.48,94.8567,387.0,0.9722,102.6316,8.1696,0.5429,0.7016,0.8485,10.6601,9.438,10.3936,15.75,6.1323,121.0846,0.096,0.017,1.3,1256.5996,32.5545
61,2008-07-31 17:07:00,0,Pass,train,RandomForest_SMOTE,0.31405893765143866,0.5,0,Pass,13.8118,0.1661,651.8519,0.47,0.0257,4.523,140.1122,63.9778,12.5235,-2597.0,14.14,46.5097,3184.0,0.9729,218.1818,35.3366,0.4134,0.6854,0.8434,28.6321,17.179000000000002,210.8972,15.71,5.6049,93.1087,0.096,0.0203,1.3,1820.0996,16.2891
62,2008-07-31 20:18:00,1,Fail,test,RandomForest_SMOTE,0.3608561530593135,0.5,0,Pass,18.3209,0.0818,544.9909,0.475,0.0155,5.3318,225.5916,68.0,12.5724,-5507.5,79.42,55.4003,265.0,0.9799,66.5208,17.2276,0.4882,0.7134,0.8434,28.3387,4.751,12.02,15.71,4.4514,20.4684,0.0969999999999999,0.0158,1.1,1842.1006,21.3161
63,2008-01-08 02:02:00,0,Pass,train,RandomForest_SMOTE,0.18042179817198178,0.5,0,Pass,16.4582,0.0165,107.1672,0.4628,0.0046,3.6722,123.1365,63.5778,12.4247,-5667.5,74.19,45.8338,528.0,0.9692,87.7193,3.5682,0.3262,0.6876,0.8088,47.4023,7.577000000000001,21.4027,15.78,5.2422,26.0053,0.1452,0.0209,1.0,836.4004,16.6429
64,2008-01-08 05:52:00,1,Fail,train,RandomForest_SMOTE,0.8493388995478206,0.5,1,Fail,9.05,0.1343,77.0472,0.4544,0.0221,4.6062,0.0,68.1222,,-5501.75,78.13,60.9777,768.0,0.9742,74.7826,29.547,0.4198,0.6493,0.7332,39.6861,3.71,10.8874,15.84,3.084,49.6133,,0.0113,1.1,760.2998,23.1316
65,2008-01-08 10:20:00,0,Pass,train,RandomForest_SMOTE,0.253538647845731,0.5,0,Pass,18.8309,0.0221,99.7884,0.4628,0.005,8.4479,195.7211,67.8444,12.4659,-5382.5,78.13,85.774,457.0,0.9741,54.5809,4.7792,0.8201,0.7316,0.7608,19.72,6.171,18.2815,15.88,4.9852,32.2873,0.0675,0.0109,1.2,1034.2002,25.779
66,2008-01-08 10:26:00,0,Pass,train,RandomForest_SMOTE,0.26600361726877675,0.5,0,Pass,18.2809,0.0275,77.146,0.4701,0.0065,4.9912,155.4978,65.1667,12.4659,-5659.25,76.99,98.6849,458.0,0.975,89.9297,5.8481,0.4539999999999999,0.7121,0.7608,37.0154,4.26,2.6152,15.88,4.0792,18.0516,0.0675,0.0103,0.9,2492.7998,32.8533
67,2008-01-08 11:28:00,0,Pass,train,RandomForest_SMOTE,0.42924848226311846,0.5,0,Pass,19.8,0.0457,103.4934,0.4653,0.0092,4.9557,295.5282,61.6222,12.4247,-5349.0,73.32,103.4441,411.0,0.9727,53.6913,9.8296,0.4519,0.6012,0.7608,24.4775,7.653,9.1419,15.88,4.5705,35.4545,0.1452,0.0108,1.1,940.5996,24.3014
68,2008-01-08 12:29:00,0,Pass,test,RandomForest_SMOTE,0.42111071981734,0.5,0,Pass,11.6818,0.0251,148.8646,0.4676,0.0053,11.0098,90.3937,65.6333,12.4659,-5597.0,14.26,74.6848,317.0,0.9724,68.8172,5.3732,1.075,0.7241,0.7608,23.592,20.503,9.791,15.88,5.9071,127.8054,0.0675,0.0125,1.6,1373.7998,23.6684
69,2008-01-08 14:07:00,0,Pass,train,RandomForest_SMOTE,0.2635748570579366,0.5,0,Pass,22.4345,0.0947,96.9571,0.4557,0.0151,8.6922,101.8656,68.3444,12.5235,-5440.5,79.42,123.5554,140.0,0.9622,102.3256,20.7724,0.8146,0.6603,0.7608,19.7188,5.405,15.3111,15.88,4.9657,10.6532,0.096,0.0164,1.7,908.0996,23.3456
